Time,Stock_Price,
1,40.00,40
2,42.5,37.5
3,40,40
4,37.5,37.5
5,40,40
6,42.5,42.5
7,45,40
8,42.5,37.5
9,45,35
10,42.5,32.5
11,45,35
12,42.5,32.5
13,40,35
14,37.5,37.5
15,40,40
16,42.5,37.5
17,45,40
18,47.5,42.5
19,50,45
20,47.5,42.5
21,45,45
22,47.5,42.5
23,50,45
24,47.5,47.5
25,45,45
26,42.5,42.5
27,45,45
28,42.5,42.5
29,40,45
30,42.5,42.5
31,45,40
32,47.5,42.5
33,45,45
34,47.5,42.5
35,50,45
36,47.5,42.5
37,50,45
38,52.5,42.5
39,50,40
40,52.5,37.5
41,55,40
42,52.5,37.5
43,55,40
44,52.5,37.5
45,50,40
46,52.5,42.5
47,55,45
48,57.5,42.5
49,55,45
50,52.5,47.5
51,55,50
52,52.5,47.5
53,55,50
54,57.5,47.5
55,60,45
56,62.5,42.5
57,60,45
58,57.5,42.5
59,55,45
60,52.5,42.5
61,50,45
62,52.5,42.5
63,50,45
64,52.5,42.5
65,55,45
66,52.5,47.5
67,50,50
68,47.5,47.5
69,50,45
70,47.5,42.5
71,45,45
72,42.5,47.5
73,40,45
74,42.5,42.5
75,40,40
76,42.5,42.5
77,45,40
78,47.5,37.5
79,50,40
80,47.5,42.5
81,45,45
82,42.5,47.5
83,40,45
84,42.5,47.5
85,45,45
86,47.5,42.5
87,45,45
88,42.5,42.5
89,40,40
90,37.5,42.5
91,40,40
92,37.5,42.5
93,40,40
94,37.5,37.5
95,40,40
96,37.5,37.5
97,35,35
98,32.5,32.5
99,35,35
100,32.5,37.5
101,30,40
102,32.5,42.5
103,30,45
104,27.5,47.5
105,25,50
106,22.5,52.5
107,20,50
108,22.5,52.5
109,20,50
110,22.5,47.5
111,20,50
112,17.5,52.5
113,20,55
114,22.5,57.5
115,25,60
116,22.5,62.5
117,20,60
118,22.5,57.5
119,20,55
120,22.5,52.5
121,20,55
122,17.5,57.5
123,20,60
124,17.5,57.5
125,15,55
126,17.5,57.5
127,20,60
128,22.5,57.5
129,25,55
130,22.5,57.5
131,25,55
132,27.5,57.5
133,30,55
134,32.5,57.5
135,30,55
136,32.5,57.5
137,30,60
138,32.5,62.5
139,30,65
140,32.5,67.5
141,35,70
142,32.5,72.5
143,35,70
144,37.5,72.5
145,35,70
146,32.5,67.5
147,35,65
148,37.5,67.5
149,35,65
150,32.5,67.5
151,30,70
152,32.5,72.5
153,30,70
154,27.5,72.5
155,30,70
156,32.5,67.5
157,30,70
158,32.5,67.5
159,30,70
160,32.5,67.5
161,35,65
162,32.5,67.5
163,30,70
164,32.5,67.5
165,35,65
166,37.5,62.5
167,40,65
168,42.5,62.5
169,45,60
170,47.5,62.5
171,50,60
172,47.5,57.5
173,45,55
174,47.5,52.5
175,45,50
176,47.5,52.5
177,45,55
178,42.5,57.5
179,45,60
180,42.5,62.5
181,45,60
182,47.5,57.5
183,45,55
184,47.5,57.5
185,45,60
186,42.5,57.5
187,40,60
188,42.5,57.5
189,40,60
190,37.5,62.5
191,40,60
192,37.5,62.5
193,35,60
194,37.5,62.5
195,40,60
196,37.5,57.5
197,40,60
198,37.5,57.5
199,40,60
200,37.5,57.5
201,35,60
202,32.5,62.5
203,30,65
204,27.5,67.5
205,30,70
206,32.5,72.5
207,35,70
208,32.5,67.5
209,35,65
210,37.5,67.5
211,35,70
212,37.5,72.5
213,35,70
214,32.5,72.5
215,30,70
216,27.5,72.5
217,25,70
218,27.5,72.5
219,25,75
220,22.5,77.5
221,25,80
222,22.5,77.5
223,25,75
224,22.5,77.5
225,25,80
226,22.5,77.5
227,20,80
228,17.5,77.5
229,15,80
230,17.5,77.5
231,20,75
232,17.5,72.5
233,15,70
234,17.5,67.5
235,15,65
236,17.5,62.5
237,20,60
238,17.5,62.5
239,15,60
240,12.5,57.5
241,10,60
242,12.5,62.5
243,10,65
244,12.5,67.5
245,10,70
246,7.5,67.5
247,10,70
248,12.5,72.5
249,15,70
250,17.5,67.5
251,15,70
252,17.5,67.5
253,15,65
254,17.5,62.5
255,15,65
256,17.5,62.5
257,15,60
258,12.5,57.5
259,15,55
260,17.5,52.5
261,15,50
262,17.5,52.5
263,20,50
264,22.5,52.5
265,25,55
266,27.5,57.5
267,25,55
268,27.5,57.5
269,30,60
270,32.5,62.5
271,30,60
272,32.5,57.5
273,30,60
274,27.5,57.5
275,30,60
276,32.5,57.5
277,30,55
278,27.5,57.5
279,25,55
280,22.5,57.5
281,25,55
282,22.5,57.5
283,20,60
284,17.5,57.5
285,20,55
286,17.5,52.5
287,20,55
288,22.5,52.5
289,25,55
290,27.5,57.5
291,25,55
292,22.5,57.5
293,25,60
294,22.5,62.5
295,25,60
296,27.5,57.5
297,25,60
298,22.5,62.5
299,20,65
300,17.5,62.5
301,15,65
302,12.5,67.5
303,15,70
304,12.5,72.5
305,15,75
306,17.5,72.5
307,15,75
308,12.5,72.5
309,10,70
310,7.5,72.5
311,10,75
312,12.5,72.5
313,15,70
314,17.5,72.5
315,20,75
316,17.5,72.5
317,15,70
318,12.5,72.5
319,15,75
320,12.5,77.5
321,10,80
322,12.5,77.5
323,10,75
324,7.5,77.5
325,5,80
326,7.5,77.5
327,10,80
328,12.5,77.5
329,15,75
330,12.5,72.5
331,10,75
332,12.5,77.5
333,10,80
334,7.5,77.5
335,10,75
336,12.5,77.5
337,10,75
338,12.5,77.5
339,10,75
340,12.5,72.5
341,15,70
342,12.5,72.5
343,15,70
344,17.5,72.5
345,20,75
346,17.5,72.5
347,15,75
348,17.5,72.5
349,20,70
350,17.5,67.5
351,15,65
352,17.5,62.5
353,20,65
354,22.5,62.5
355,20,60
356,22.5,62.5
357,20,65
358,22.5,62.5
359,25,65
360,22.5,67.5
361,25,65
362,27.5,62.5
363,30,60
364,32.5,62.5
365,35,60
366,32.5,57.5
367,30,55
368,27.5,57.5
369,25,60
370,22.5,62.5
371,25,65
372,27.5,67.5
373,30,65
374,27.5,67.5
375,30,70
376,27.5,72.5
377,25,70
378,27.5,67.5
379,30,65
380,32.5,62.5
381,30,65
382,27.5,67.5
383,30,65
384,27.5,62.5
385,25,65
386,27.5,62.5
387,30,65
388,27.5,67.5
389,25,65
390,27.5,62.5
391,30,65
392,32.5,67.5
393,30,70
394,27.5,72.5
395,30,70
396,32.5,67.5
397,30,70
398,32.5,72.5
399,35,75
400,37.5,77.5
401,40,80
402,42.5,82.5
403,45,80
404,42.5,77.5
405,45,80
406,47.5,82.5
407,45,85
408,42.5,82.5
409,40,85
410,42.5,82.5
411,45,80
412,42.5,82.5
413,45,85
414,47.5,82.5
415,50,80
416,47.5,77.5
417,45,75
418,42.5,72.5
419,45,75
420,42.5,72.5
421,40,70
422,37.5,72.5
423,35,75
424,37.5,77.5
425,35,80
426,32.5,77.5
427,35,80
428,32.5,77.5
429,30,80
430,27.5,82.5
431,25,85
432,27.5,82.5
433,25,80
434,27.5,77.5
435,30,80
436,27.5,82.5
437,25,80
438,22.5,82.5
439,25,80
440,27.5,82.5
441,25,80
442,22.5,77.5
443,25,75
444,22.5,72.5
445,25,70
446,22.5,67.5
447,25,65
448,27.5,67.5
449,30,65
450,27.5,67.5
451,30,70
452,27.5,67.5
453,30,70
454,32.5,67.5
455,35,70
456,32.5,72.5
457,30,75
458,32.5,77.5
459,35,80
460,32.5,77.5
461,35,80
462,32.5,77.5
463,30,75
464,27.5,77.5
465,30,80
466,32.5,77.5
467,35,75
468,32.5,77.5
469,35,80
470,32.5,82.5
471,35,80
472,32.5,82.5
473,30,80
474,32.5,82.5
475,35,85
476,37.5,82.5
477,40,80
478,42.5,82.5
479,40,80
480,37.5,82.5
481,40,85
482,42.5,87.5
483,40,90
484,37.5,87.5
485,40,85
486,37.5,82.5
487,40,85
488,42.5,82.5
489,40,80
490,42.5,82.5
491,40,85
492,37.5,87.5
493,35,90
494,37.5,87.5
495,40,85
496,42.5,82.5
497,45,80
498,47.5,77.5
499,45,80
500,42.5,77.5
501,45,75
502,47.5,72.5
503,45,70
504,42.5,72.5
505,45,75
506,47.5,72.5
507,45,70
508,42.5,72.5
509,40,75
510,37.5,77.5
511,35,75
512,32.5,77.5
513,35,80
514,37.5,82.5
515,40,85
516,37.5,87.5
517,35,90
518,32.5,92.5
519,35,90
520,32.5,87.5
521,30,85
522,27.5,87.5
523,30,85
524,32.5,87.5
525,35,85
526,37.5,87.5
527,40,90
528,42.5,92.5
529,45,90
530,42.5,87.5
531,45,90
532,47.5,87.5
533,45,85
534,47.5,87.5
535,45,90
536,47.5,87.5
537,50,85
538,47.5,87.5
539,45,85
540,42.5,82.5
541,40,85
542,37.5,82.5
543,40,80
544,37.5,82.5
545,35,85
546,32.5,87.5
547,35,90
548,32.5,92.5
549,30,95
550,32.5,97.5
551,35,95
552,37.5,97.5
553,35,100
554,32.5,102.5
555,30,100
556,27.5,102.5
557,30,105
558,32.5,102.5
559,35,105
560,32.5,107.5
561,30,110
562,27.5,107.5
563,30,105
564,32.5,107.5
565,35,110
566,37.5,112.5
567,40,115
568,42.5,117.5
569,45,115
570,47.5,117.5
571,50,120
572,47.5,117.5
573,50,115
574,47.5,112.5
575,45,110
576,47.5,107.5
577,45,105
578,47.5,102.5
579,50,105
580,52.5,107.5
581,50,105
582,52.5,107.5
583,55,110
584,52.5,112.5
585,50,110
586,47.5,112.5
587,45,115
588,42.5,112.5
589,45,115
590,42.5,117.5
591,40,115
592,42.5,112.5
593,45,115
594,47.5,117.5
595,45,120
596,47.5,122.5
597,50,120
598,52.5,122.5
599,55,120
600,52.5,122.5
601,50,125
602,52.5,127.5
603,50,130
604,47.5,132.5
605,45,135
606,47.5,137.5
607,45,135
608,47.5,132.5
609,45,130
610,42.5,127.5
611,40,130
612,37.5,127.5
613,35,125
614,32.5,122.5
615,35,125
616,37.5,122.5
617,35,120
618,37.5,122.5
619,40,120
620,42.5,122.5
621,40,125
622,42.5,127.5
623,45,125
624,42.5,127.5
625,45,130
626,47.5,127.5
627,50,130
628,52.5,132.5
629,50,130
630,47.5,127.5
631,50,125
632,52.5,127.5
633,55,125
634,52.5,127.5
635,55,130
636,52.5,127.5
637,50,125
638,52.5,122.5
639,50,125
640,52.5,127.5
641,55,130
642,57.5,127.5
643,55,130
644,52.5,132.5
645,55,130
646,52.5,127.5
647,55,130
648,57.5,127.5
649,55,125
650,52.5,127.5
651,50,125
652,52.5,122.5
653,55,125
654,52.5,122.5
655,55,125
656,52.5,122.5
657,55,120
658,57.5,122.5
659,55,120
660,52.5,122.5
661,55,125
662,52.5,122.5
663,55,125
664,52.5,127.5
665,55,125
666,57.5,127.5
667,60,130
668,62.5,127.5
669,65,125
670,67.5,122.5
671,70,125
672,67.5,122.5
673,65,125
674,67.5,122.5
675,70,120
676,67.5,122.5
677,65,125
678,67.5,122.5
679,65,125
680,62.5,122.5
681,65,125
682,62.5,122.5
683,60,125
684,62.5,122.5
685,65,125
686,67.5,122.5
687,65,120
688,62.5,117.5
689,60,115
690,57.5,117.5
691,55,115
692,52.5,112.5
693,55,115
694,57.5,112.5
695,55,110
696,57.5,107.5
697,60,105
698,57.5,102.5
699,60,105
700,62.5,102.5
701,65,105
702,67.5,102.5
703,70,100
704,67.5,102.5
705,70,100
706,72.5,102.5
707,70,105
708,72.5,102.5
709,75,105
710,72.5,102.5
711,70,100
712,67.5,102.5
713,70,100
714,67.5,97.5
715,65,95
716,67.5,92.5
717,65,95
718,67.5,92.5
719,65,95
720,67.5,97.5
721,70,95
722,72.5,92.5
723,75,90
724,77.5,92.5
725,80,95
726,82.5,97.5
727,85,95
728,87.5,92.5
729,85,95
730,82.5,97.5
731,80,95
732,82.5,97.5
733,80,95
734,82.5,97.5
735,85,95
736,82.5,92.5
737,80,90
738,77.5,92.5
739,80,90
740,77.5,92.5
741,75,95
742,72.5,92.5
743,75,90
744,72.5,92.5
745,75,90
746,77.5,92.5
747,75,90
748,77.5,87.5
749,75,90
